Destination Plate Type;Destination Plate Name;Sample name;Destination Well;Transfer Volume;Source Well;Source Plate Name;Source Plate Type
Greiner384_black_PS_Fbottom_781906;destination1;water well;M10;2550;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;N10;1475;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;O10;1050;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;P10;1900;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;A11;75;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;B11;350;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;C11;25;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;D11;550;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;E11;275;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;F11;225;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;G11;450;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;H11;250;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;I11;225;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;J11;750;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;K11;450;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;L11;250;N16;source1;384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906;destination1;water well;M11;50;N16;source1;384PP_Plus_AQ_GP
