hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,rate,Day
2.0,3.0,1.0,1.25,0.1,2.0,2.0,20.0,8.0,1.0,3.0,1.0,3.5,0.4,0.2,4.0,0.05,0.2,0.2,0.1,3.33,0.1,4,7.548968654499999,14.22781878,3.1
2.0,3.0,1.0,1.25,0.2,1.0,2.0,10.0,4.0,1.0,3.0,4.0,1.75,0.1,0.2,1.5,0.05,0.2,0.1,0.1,3.33,0.1,32,9.005127708,11.25148402,5.0
2.0,3.0,1.0,1.25,0.4,0.5,2.0,20.0,4.0,1.0,3.0,2.0,3.5,0.1,0.2,4.0,0.05,0.2,0.1,0.2,3.33,0.1,34,7.052095789,7.089743013,5.0
2.0,3.0,1.0,2.5,0.1,1.0,2.0,20.0,4.0,2.0,3.0,2.0,1.75,0.1,0.2,1.5,0.2,0.05,0.05,0.1,6.7,0.1,3,4.896648677,4.260191888,5.0
2.0,3.0,1.0,2.5,0.2,2.0,2.0,10.0,8.0,1.0,6.0,1.0,1.75,0.1,0.4,2.0,0.1,0.2,0.05,0.2,6.7,0.1,40,11.47921447,15.51316098,5.0
2.0,3.0,1.0,5.0,0.1,2.0,2.0,10.0,4.0,1.0,3.0,2.0,1.75,0.1,0.2,4.0,0.1,0.2,0.05,0.1,3.33,0.1,30,27.319049,40.18840537,5.0
2.0,3.0,1.0,5.0,0.1,2.0,2.0,20.0,8.0,1.0,12.0,1.0,1.75,0.1,0.2,1.5,0.05,0.2,0.1,0.05,3.33,0.1,21,0.027986944,0.002621644,5.0
2.0,3.0,1.0,5.0,0.2,0.5,2.0,5.0,4.0,4.0,12.0,4.0,7.0,0.2,0.1,1.5,0.1,0.2,0.1,0.2,3.33,0.1,1,0.028073124,0.000363356,5.0
2.0,3.0,2.0,1.25,0.4,2.0,2.0,5.0,2.0,2.0,12.0,2.0,1.75,0.1,0.2,1.5,0.2,0.2,0.05,0.05,3.33,0.1,48,2.229195618,2.636322784,5.0
2.0,3.0,2.0,2.5,0.2,2.0,2.0,10.0,4.0,2.0,6.0,1.0,1.75,0.1,0.2,2.0,0.1,0.2,0.05,0.2,6.7,0.1,38,7.481164291,8.889458886,5.0
2.0,3.0,2.0,5.0,0.2,1.0,2.0,10.0,2.0,2.0,3.0,1.0,1.75,0.1,0.4,1.5,0.05,0.2,0.05,0.2,3.33,0.1,25,11.69471825,11.04331596,5.0
2.0,3.0,2.0,5.0,0.4,0.5,4.0,5.0,4.0,4.0,6.0,1.0,1.75,0.2,0.4,1.5,0.05,0.05,0.1,0.05,3.33,0.1,43,3.930933838,2.569797169,4.0
2.0,3.0,2.0,5.0,0.4,0.5,6.0,5.0,2.0,2.0,12.0,1.0,7.0,0.4,0.2,1.5,0.05,0.2,0.05,0.05,6.7,0.1,33,0.147295306,0.414136031,4.0
2.0,3.0,2.0,5.0,0.4,1.0,2.0,10.0,2.0,1.0,3.0,4.0,1.75,0.1,0.2,4.0,0.05,0.2,0.1,0.05,3.33,0.1,23,7.611382219,10.30989626,5.0
2.0,3.0,2.0,5.0,0.4,1.0,6.0,20.0,8.0,1.0,3.0,1.0,1.75,0.2,0.2,4.0,0.05,0.05,0.05,0.1,3.33,0.1,39,1.645323791,2.080686676,4.0
2.0,3.0,4.0,5.0,0.2,1.0,2.0,5.0,8.0,1.0,3.0,1.0,3.5,0.4,0.4,4.0,0.05,0.05,0.05,0.2,6.7,0.1,55,0.011496995,0.000984019,4.0
2.0,3.0,4.0,5.0,0.2,1.0,4.0,10.0,4.0,4.0,3.0,1.0,1.75,0.4,0.2,1.5,0.05,0.05,0.05,0.05,13.32,0.1,34,0.900689913,1.501408272,4.0
2.0,3.0,4.0,5.0,0.2,1.0,4.0,20.0,8.0,1.0,6.0,2.0,1.75,0.2,0.2,4.0,0.05,0.05,0.05,0.05,3.33,0.1,45,2.096208985,1.767274563,4.0
2.0,3.0,4.0,5.0,0.2,2.0,4.0,5.0,8.0,4.0,3.0,1.0,3.5,0.2,0.1,4.0,0.05,0.1,0.05,0.05,3.33,0.1,59,0.668654552,1.059692599,4.0
2.0,6.0,1.0,1.25,0.1,1.0,2.0,20.0,8.0,1.0,3.0,1.0,7.0,0.4,0.1,1.5,0.05,0.1,0.05,0.1,6.7,0.1,22,0.36662817150000004,0.5788511525,3.1
2.0,6.0,1.0,1.25,0.2,1.0,2.0,5.0,8.0,1.0,6.0,2.0,1.75,0.1,0.2,4.0,0.05,0.2,0.1,0.2,3.33,0.1,37,3.587661183,4.950042858,5.0
2.0,6.0,1.0,2.5,0.2,1.0,2.0,5.0,8.0,4.0,3.0,2.0,1.75,0.4,0.1,2.0,0.2,0.2,0.05,0.05,3.33,0.1,27,3.2093449510000003,3.4775091380000003,3.1
2.0,6.0,1.0,2.5,0.2,1.0,4.0,10.0,8.0,1.0,3.0,1.0,1.75,0.2,0.2,4.0,0.2,0.2,0.2,0.05,3.33,0.1,16,3.597377975,2.974282297,5.0
2.0,6.0,1.0,2.5,0.2,2.0,2.0,20.0,4.0,1.0,6.0,2.0,3.5,0.1,0.4,4.0,0.05,0.2,0.05,0.05,3.33,0.1,35,8.519966821,10.18387314,5.0
2.0,6.0,1.0,2.5,0.4,1.0,2.0,20.0,8.0,1.0,3.0,1.0,1.75,0.4,0.2,1.5,0.1,0.2,0.05,0.05,6.7,0.1,11,3.8613851425,4.096875778,3.1
2.0,6.0,1.0,5.0,0.2,0.5,4.0,5.0,4.0,4.0,12.0,1.0,1.75,0.4,0.2,1.5,0.1,0.05,0.05,0.2,3.33,0.1,57,0.00907879,0.000601159,4.0
2.0,6.0,1.0,5.0,0.2,0.5,4.0,10.0,2.0,4.0,3.0,1.0,3.5,0.2,0.4,2.0,0.05,0.2,0.05,0.2,3.33,0.1,60,2.717439603,3.383093077,4.0
2.0,6.0,1.0,5.0,0.4,1.0,4.0,5.0,8.0,1.0,6.0,1.0,7.0,0.4,0.2,1.5,0.05,0.05,0.05,0.2,6.7,0.1,52,0.096826399,0.226960234,4.0
2.0,6.0,1.0,5.0,0.4,1.0,6.0,5.0,2.0,1.0,3.0,1.0,7.0,0.4,0.2,1.5,0.1,0.05,0.05,0.05,6.7,0.1,53,0.073317898,0.173004858,4.0
2.0,6.0,1.0,5.0,0.4,2.0,2.0,5.0,8.0,2.0,6.0,1.0,3.5,0.2,0.4,1.5,0.1,0.1,0.05,0.05,3.33,0.1,41,2.681255408,6.109279233,4.0
2.0,6.0,2.0,1.25,0.2,1.0,2.0,10.0,8.0,1.0,3.0,2.0,3.5,0.4,0.1,1.5,0.05,0.2,0.05,0.1,13.32,0.1,25,0.295976862,0.643050067,3.1
2.0,6.0,2.0,2.5,0.1,1.0,2.0,10.0,8.0,2.0,3.0,2.0,1.75,0.4,0.4,4.0,0.05,0.2,0.05,0.1,3.33,0.1,5,15.41521507,11.01429676,5.0
2.0,6.0,2.0,2.5,0.2,0.5,2.0,20.0,8.0,1.0,3.0,4.0,1.75,0.1,0.2,2.0,0.1,0.2,0.05,0.05,3.33,0.1,32,11.6454927175,5.86796557025,3.1
2.0,6.0,2.0,2.5,0.2,1.0,2.0,5.0,8.0,2.0,3.0,2.0,1.75,0.4,0.2,4.0,0.05,0.1,0.1,0.05,3.33,0.1,20,3.8364653975,3.5809164840000003,3.1
2.0,6.0,2.0,2.5,0.4,0.5,2.0,10.0,2.0,1.0,3.0,1.0,1.75,0.1,0.4,4.0,0.05,0.2,0.1,0.2,3.33,0.1,26,4.779013024,4.715247638,5.0
2.0,6.0,2.0,5.0,0.1,2.0,2.0,10.0,8.0,2.0,3.0,1.0,1.75,0.4,0.4,4.0,0.05,0.2,0.05,0.05,6.7,0.1,2,8.657378264,10.9036738465,3.1
2.0,6.0,2.0,5.0,0.2,0.5,4.0,20.0,2.0,2.0,3.0,1.0,7.0,0.2,0.4,1.5,0.05,0.05,0.05,0.1,3.33,0.1,35,0.560611801,1.106163169,4.0
2.0,6.0,2.0,5.0,0.2,1.0,2.0,5.0,8.0,1.0,3.0,4.0,1.75,0.2,0.4,1.5,0.05,0.2,0.1,0.05,6.7,0.1,12,8.947318021,8.306410830666668,3.1
2.0,6.0,2.0,5.0,0.2,2.0,2.0,5.0,4.0,1.0,3.0,4.0,1.75,0.2,0.2,1.5,0.05,0.1,0.1,0.05,13.32,0.1,58,1.482279754,3.523177024,4.0
2.0,6.0,2.0,5.0,0.4,0.5,2.0,10.0,2.0,1.0,3.0,2.0,1.75,0.2,0.2,1.5,0.1,0.2,0.1,0.2,3.33,0.1,39,4.592174859,2.901473752,5.0
2.0,6.0,2.0,5.0,0.4,0.5,2.0,20.0,4.0,1.0,3.0,1.0,1.75,0.2,0.4,1.5,0.05,0.05,0.2,0.05,6.7,0.1,38,1.76733787,2.950618008,4.0
2.0,6.0,2.0,5.0,0.4,1.0,2.0,10.0,2.0,2.0,6.0,1.0,3.5,0.4,0.2,1.5,0.05,0.1,0.05,0.05,3.33,0.1,36,1.786561893,2.320519579,4.0
2.0,6.0,2.0,5.0,0.4,2.0,6.0,5.0,4.0,1.0,3.0,1.0,7.0,0.4,0.2,1.5,0.05,0.05,0.05,0.2,3.33,0.1,48,0.062265254,0.114640898,4.0
2.0,6.0,2.0,5.0,0.4,2.0,6.0,5.0,8.0,1.0,6.0,2.0,1.75,0.2,0.4,1.5,0.1,0.1,0.05,0.05,3.33,0.1,50,0.486190042,0.529492888,4.0
2.0,6.0,4.0,5.0,0.4,1.0,2.0,10.0,4.0,1.0,3.0,1.0,3.5,0.4,0.2,2.0,0.05,0.05,0.05,0.05,3.33,0.1,51,0.010865549,0.003005171,4.0
2.0,6.0,4.0,5.0,0.4,2.0,2.0,5.0,2.0,1.0,12.0,1.0,7.0,0.4,0.1,1.5,0.05,0.05,0.05,0.05,3.33,0.1,42,0.018821769,0.009681508,4.0
2.0,12.0,1.0,5.0,0.1,0.5,6.0,10.0,4.0,1.0,3.0,1.0,1.75,0.4,0.2,1.5,0.2,0.05,0.1,0.1,6.7,0.1,4,0.037822232,0.006217622,5.0
2.0,12.0,1.0,5.0,0.4,2.0,4.0,5.0,2.0,1.0,3.0,4.0,7.0,0.4,0.2,1.5,0.05,0.1,0.05,0.05,3.33,0.1,46,0.047840221,0.062125419,4.0
2.0,12.0,2.0,2.5,0.4,1.0,2.0,5.0,8.0,2.0,3.0,4.0,1.75,0.1,0.2,2.0,0.2,0.1,0.1,0.1,3.33,0.1,15,0.205076,0.091841849,5.0
2.0,12.0,2.0,5.0,0.1,0.5,6.0,5.0,4.0,2.0,3.0,4.0,1.75,0.2,0.4,1.5,0.05,0.1,0.05,0.05,13.32,0.1,62,0.088481957,0.090926786,4.0
2.0,12.0,2.0,5.0,0.1,1.0,2.0,10.0,4.0,1.0,3.0,2.0,1.75,0.2,0.2,1.5,0.1,0.2,0.05,0.2,3.33,0.1,28,2.424167017,0.819692223,5.0
2.0,12.0,2.0,5.0,0.2,1.0,2.0,10.0,2.0,1.0,6.0,2.0,1.75,0.1,0.4,2.0,0.05,0.2,0.2,0.2,3.33,0.1,45,2.531687296,0.968862382,5.0
2.0,12.0,4.0,5.0,0.2,0.5,6.0,5.0,4.0,1.0,3.0,4.0,1.75,0.4,0.4,4.0,0.05,0.1,0.05,0.05,3.33,0.1,44,0.076386258,0.036139087,4.0
