hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,rate,Day
2.0,6.0,1.0,5.0,0.1,1.0,2.0,20.0,4.0,4.0,3.0,1.0,1.75,0.1,0.4,4.0,0.05,0.05,0.1,0.05,3.33,2.0,49,2.4530292840000003,1.867828378,8.1
2.0,6.0,1.0,5.0,0.2,0.5,2.0,20.0,4.0,1.0,3.0,2.0,3.5,0.4,0.2,4.0,0.2,0.05,0.05,0.1,3.33,2.0,54,1.3206655105,1.070000397,8.1
2.0,6.0,1.0,5.0,0.4,0.5,2.0,10.0,8.0,1.0,3.0,4.0,1.75,0.4,0.4,2.0,0.1,0.1,0.1,0.05,3.33,2.0,16,1.28593501,0.8616745690000001,8.1
2.0,6.0,1.0,5.0,0.4,1.0,2.0,5.0,4.0,1.0,3.0,1.0,1.75,0.1,0.2,1.5,0.2,0.1,0.05,0.05,3.33,2.0,15,2.1299420065000003,1.5658840755,8.1
2.0,6.0,2.0,1.25,0.2,2.0,2.0,20.0,2.0,4.0,6.0,1.0,1.75,0.1,0.1,1.5,0.05,0.05,0.05,0.05,13.32,2.0,30,0.5291,0.721394309,7.0
2.0,6.0,2.0,1.25,0.4,2.0,2.0,10.0,2.0,4.0,12.0,2.0,1.75,0.1,0.4,1.5,0.05,0.2,0.05,0.05,3.33,2.0,28,0.8222,0.827149608,7.0
2.0,6.0,2.0,2.5,0.2,0.5,2.0,20.0,4.0,4.0,3.0,4.0,1.75,0.2,0.2,4.0,0.05,0.1,0.05,0.05,3.33,2.0,50,2.1239615855,1.3778927795,8.1
2.0,6.0,2.0,2.5,0.2,0.5,2.0,20.0,8.0,1.0,3.0,4.0,1.75,0.1,0.2,2.0,0.1,0.2,0.05,0.05,3.33,2.0,Top day2,3.195228988,1.9575289455,6.0
2.0,6.0,2.0,2.5,0.2,1.0,2.0,10.0,8.0,4.0,6.0,2.0,1.75,0.1,0.4,4.0,0.05,0.05,0.05,0.05,6.7,2.0,3,2.2904,2.615964591,7.0
2.0,6.0,2.0,5.0,0.1,0.5,2.0,5.0,4.0,1.0,6.0,1.0,3.5,0.1,0.2,4.0,0.05,0.1,0.05,0.2,3.33,2.0,2,1.2736466505,1.0830268145000002,8.1
2.0,6.0,2.0,5.0,0.1,0.5,2.0,20.0,2.0,2.0,6.0,1.0,3.5,0.1,0.4,1.5,0.2,0.2,0.05,0.1,3.33,2.0,19,1.60252966,1.277881844,8.2
2.0,6.0,2.0,5.0,0.1,1.0,2.0,5.0,8.0,1.0,6.0,4.0,7.0,0.2,0.4,4.0,0.2,0.1,0.05,0.1,3.33,2.0,30,0.799457851,0.930030271,8.2
2.0,6.0,2.0,5.0,0.1,1.0,2.0,10.0,2.0,1.0,6.0,2.0,1.75,0.1,0.4,1.5,0.05,0.05,0.1,0.1,3.33,2.0,9,3.1202429575000004,2.092846873,8.1
2.0,6.0,2.0,5.0,0.1,1.0,2.0,10.0,8.0,1.0,3.0,2.0,3.5,0.1,0.4,2.0,0.05,0.05,0.2,0.2,6.7,2.0,55,2.0552675685,2.660835054,8.1
2.0,6.0,2.0,5.0,0.1,1.0,4.0,20.0,8.0,1.0,3.0,1.0,1.75,0.1,0.4,1.5,0.1,0.1,0.05,0.1,6.7,2.0,26,3.61517241,2.150259806,8.1
2.0,6.0,2.0,5.0,0.1,2.0,2.0,5.0,2.0,1.0,3.0,2.0,1.75,0.4,0.4,1.5,0.2,0.2,0.1,0.1,3.33,2.0,35,2.35258059,1.030813487,8.1
2.0,6.0,2.0,5.0,0.2,1.0,2.0,5.0,2.0,1.0,6.0,2.0,1.75,0.4,0.4,2.0,0.1,0.1,0.2,0.2,3.33,2.0,17,1.6707680200000001,1.1034841155000001,8.1
2.0,6.0,2.0,5.0,0.2,1.0,2.0,5.0,8.0,1.0,3.0,4.0,1.75,0.2,0.4,1.5,0.05,0.2,0.1,0.05,6.7,2.0,Top day3,3.020310201,2.982675547,6.0
2.0,6.0,2.0,5.0,0.2,1.0,2.0,10.0,2.0,2.0,3.0,2.0,1.75,0.4,0.4,1.5,0.05,0.1,0.1,0.05,3.33,2.0,36,2.558219675,1.814090234,8.1
