Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
12B,4017.480138117964,1430109.6314330397,2.466535881283728,1.8869901384141043,5.080790011256759,273521.5400516155,2.136744860107369
13A,1020.292570806837,18831.47580274172,4.287371469165463,5.427254723383676,5.867312595087947,5959.549850867556,0.0303077762719422
13B,1121.39162138479,14622.64735593235,3.8660524267229968,5.782450807033395,5.203219851310711,5467.769812161299,0.0240443239802153
14A,5249.079604242683,194400.2339358205,3.827360407449836,4.24705905677379,5.6297183950767975,53929.41781553996,0.3044670449320327
14B,4568.789517379921,149216.17030719022,3.677964977946629,4.358290735483818,5.36576655024735,44204.29888087692,0.2346326263013909
15A,32071.063837672664,1062187.0878910888,2.23180470731788,4.084351877996168,3.3246609420323234,485968.3525384432,1.6710430246709496
15B,44262.13680336938,1141964.9260863045,2.3406942729473577,4.084593472428423,3.4868030785101984,498192.1963008996,1.811405719776963
16A,8415.315372475112,242773.99349052447,4.17523974326392,3.0375219762156203,6.9243489026094975,44155.02976031636,0.3788234366815828
16B,6012.508503282088,185859.89260862995,4.271522476132914,2.8825371134804296,7.235246659358015,31355.80120117296,0.2881479502012728
17A,33342.07378439578,1378420.0630254413,1.831702536718039,3.623327756336313,2.842763450826535,681670.1366805702,2.1557755951833664
17B,29865.468272326365,1325377.700523853,1.7353017913537463,3.854911036854168,2.635608841121543,736069.8224376279,2.0697745153140428
18A,1630.5343137055338,47224.12549074945,1.3559786517304993,2.3413376944656075,2.514272609014599,20385.20756918988,0.074438145006313
18B,675.0326241567426,3391.002926740644,0.6273668461887275,1.943683490720525,1.2729110916215702,2626.4682480957977,0.0062024730677992
19A,32770.00495237344,2577481.9158648364,3.115916479871606,2.0823903546766536,6.108550855913397,430637.6242449543,3.879520268803611
19B,24708.928786961955,2590975.290241376,2.8512524114336664,2.1867577412859127,5.45899661427984,496784.7857572656,3.920270791229649
20A,1061.6027136790565,37437.88524899342,2.3646464725799228,4.399609980745418,3.4395810612951183,17414.029487013097,0.0587968841473973
20B,1259.5536966203636,49584.39076656097,2.251427711587888,4.235208838617913,3.314623316517067,23318.564588058038,0.0776479479577316
21A,3856.6665113024137,119034.57489470016,4.70772019686469,3.902726247005029,7.120249233702678,24670.081287542624,0.1865914252576022
21B,4132.62829692001,126598.61304533933,4.385937012137509,3.63944657297878,6.7961589643986455,26262.853702450837,0.1983903769697964
22A,31401.25447258813,1360202.3428669192,2.932932846231371,2.0366299357205904,5.813115244408342,236131.28524913345,2.071287201519914
22B,20075.73888757495,1440095.807993716,2.7367251383003635,2.070845465089235,5.379824475683741,272425.5928684441,2.18322184076512
23A,35555.940525173835,1138137.0415154337,2.32779009727495,3.927274003786694,3.5132383726081637,480045.0028895267,1.7920957983871248
23B,34787.07700461353,1216996.026851582,2.1761587199224617,3.864599353106233,3.302360181490963,540310.0903263916,1.911416904540793
24A,5868.725542995441,532511.2430402512,5.161473299688974,1.5197364532507045,11.95406327625843,39197.952833684205,0.7109405839423016
24B,7323.8324012016765,250981.807546974,6.946106564368344,1.5800973289153133,15.738104927072529,14273.308364776509,0.3213911391443243
25A,4417.170307852839,204817.4325334772,3.1891102292204545,4.797644356424954,4.51855859691767,77030.98424508535,0.3195011609094713
25B,7067.473489160907,329564.1287034846,2.795326287277936,4.655419740848239,3.9962174820077214,137216.48145552448,0.5140829437532725
26A,29789.186634902428,1044770.1309480903,1.7810892586931677,3.3785598285903404,2.835437471574337,495457.8184815691,1.6405975812604017
26B,26015.28086170811,936176.955782528,1.7441176817162485,3.42898840012551,2.7613959446887386,460138.0909521335,1.4691508785012086
27A,749.6826496613673,2706.014090484426,2.5066114007623925,6.514852541980771,3.2761181193289755,1758.278404329671,0.0052783715264516
27B,787.8155291775737,4480.254989248027,2.326402783813538,5.834937429816661,3.123807318753559,2809.273582564352,0.0080466302909982
28A,-9471.802493551111,716078.1286439092,1.913269705828879,1.943225457140616,3.882438747741477,181822.4117388121,1.0643974696708045
28B,-4164.391081108257,395753.0650354719,1.7935847309900743,2.0041610894908173,3.583445576403212,110554.14337088417,0.5917822236328726
29A,19950.61302578759,806657.494056485,1.6295731725738216,3.2419790957929404,2.63486847178688,401204.2504764192,1.262019900264596
29B,13350.182655258408,676219.4807900037,1.591427368536881,3.3163024817110216,2.551187449116621,352285.6880969333,1.0529035398229265
30A,11278.797824440278,364092.0252952357,2.2890927687577376,3.7140119807966943,3.5217720280565743,147683.19599306624,0.5730560178338886
30B,10651.04871257521,308442.41277330864,2.381316753811417,3.7366134299438474,3.655902310202357,120997.13951203116,0.4871142158662201
31A,6432.713592095309,434394.87663903873,7.0255168117675,2.9347494834736545,11.813330457415985,45364.63914315553,0.6295288761089698
31B,4746.800230648564,425283.2059865468,7.392603273779361,2.771056491506145,12.72818794802848,39853.47735545,0.6008300388443123
32A,981.2412145435676,13241.125124607332,2.4264334738153037,6.4152154376122175,3.1828955123586065,8752.008990500952,0.0217238100540251
32B,884.0062210128659,10219.923042574412,2.513807354661616,5.79389040873802,3.3815515394223192,5888.787975797697,0.0169604205123489
33A,18344.77332961792,712726.3058171318,1.87675893888887,3.657184507088434,2.903099794949753,347217.1557861343,1.116349603856459
33B,16105.869042416014,587315.2126837554,1.8453411015820564,3.816475255010967,2.812380570347984,303666.6194365617,0.921518212045103
34A,6820.658603524337,568454.7669862757,5.052052499432547,2.5657979911110527,8.990049580211993,72175.62066777378,0.8434448081640417
34B,4274.49623359082,344745.2675278768,4.761575056418042,2.6505257808286817,8.354503743140226,47975.52325515076,0.516489047047171
35A,8327.038215354149,425808.16594513337,2.8240248434215887,2.105821545117163,5.506137057507106,79379.26006766935,0.649166620283457
35B,12931.70077208832,424187.5823324353,2.8001237853788985,2.532566349831721,5.011417310277037,95913.90232827078,0.6613286796194547
36A,4350.672060788478,131247.2188076318,3.943176610302979,2.6290469775737235,6.942876991421334,21876.721360868032,0.2031088480890815
36B,3086.0024017545898,99128.1280892818,4.437942843255488,2.5966410456858293,7.856161045289133,14499.970778680286,0.1518445915133288
37A,-1250.515706484132,217151.70321249156,2.276746362220724,1.923298673403124,4.644289577120572,45860.135064456976,0.3232193095556996
37B,-3122.374092461025,291908.7466703454,2.181640739120147,1.8389077753867664,4.554397838003256,61512.564182771,0.4314511234917266
38A,2631.947096241023,163825.1830732776,5.396409965506651,2.327223802706529,10.034047273298622,17662.56955864413,0.238715703320294
38B,2123.801384031437,102158.52868217744,5.254532487353213,2.4601005236773745,9.526335559447766,11957.307834427747,0.151416881027506
39A,16015.999094992068,561155.679833569,1.915222759020555,3.88356207232859,2.9015454820005866,284468.59570370545,0.8814324292786414
39B,7957.777379829275,314396.42980616284,1.8534224966734392,4.121899998362354,2.7527274276081104,174799.6808376233,0.4923303228030917
