Destination Plate Type,Destination Plate Barcode,Sample name,Destination Well,Transfer Volume,Source Well,Source Plate Name,Source Plate Type
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,H11,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,I11,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,J11,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,K11,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,L11,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,M11,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,N11,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,O11,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,P11,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,A12,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,B12,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,C12,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,D12,325.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,E12,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,F12,650.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,hepes well,G12,175.0,A1,source1,384PP_Plus_AQ_BP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,A1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,B1,325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,C1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,D1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,E1,325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,F1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,G1,325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,H1,1325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,I1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,J1,1325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,K1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,L1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,M1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,N1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,O1,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,P1,1325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,A2,325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,B2,325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,C2,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,D2,650.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,E2,1325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,F2,325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,G2,325.0,A2,source1,384PP_Plus_AQ_GP
Greiner384_black_PS_Fbottom_781906,destination1,k-glut well,H2,650.0,A2,source1,384PP_Plus_AQ_GP
