hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNAs,aaRSs-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,Condition,yield,Day
0.5,3.0,0.5,2.5,0.2,1.0,4.0,10.0,4.0,1.0,3.0,2.0,7.0,0.2,0.4,1.0,0.2,0.2,0.1,0.1,13.32,0.1,53,1.950582996,7
0.5,3.0,1.0,1.25,0.1,0.5,2.0,5.0,4.0,4.0,6.0,4.0,3.5,0.4,0.4,2.0,0.1,0.2,0.05,0.05,13.32,0.1,51,0.98518207,4
0.5,3.0,1.0,1.25,0.1,0.5,2.0,20.0,4.0,1.0,6.0,4.0,3.5,0.1,0.4,2.0,0.2,0.05,0.1,0.05,13.32,0.1,60,1.246575014,5
0.5,3.0,1.0,1.25,0.1,0.5,4.0,5.0,4.0,2.0,3.0,4.0,7.0,0.2,0.4,4.0,0.1,0.1,0.1,0.1,13.32,0.1,48,2.330152972,3
0.5,3.0,1.0,1.25,0.1,0.5,4.0,5.0,4.0,2.0,3.0,4.0,7.0,0.4,0.4,1.0,0.05,0.2,0.05,0.05,13.32,0.1,40,1.272403037,4
0.5,3.0,1.0,1.25,0.1,0.5,4.0,10.0,4.0,2.0,3.0,1.0,3.5,0.1,0.4,2.0,0.2,0.1,0.1,0.05,13.32,0.1,38,2.367083222,5
0.5,3.0,1.0,1.25,0.1,0.5,4.0,20.0,4.0,1.0,3.0,1.0,7.0,0.2,0.1,2.0,0.1,0.2,0.1,0.1,13.32,0.1,54,1.423986542,5
0.5,3.0,1.0,1.25,0.1,1.0,4.0,5.0,2.0,2.0,12.0,2.0,7.0,0.2,0.4,2.0,0.2,0.2,0.05,0.05,13.32,0.1,35,0.381924538,5
0.5,3.0,1.0,1.25,0.1,1.0,4.0,5.0,8.0,4.0,3.0,4.0,3.5,0.1,0.4,2.0,0.1,0.2,0.2,0.05,13.32,0.1,38,1.230387388,4
0.5,3.0,1.0,1.25,0.1,2.0,2.0,5.0,8.0,1.0,6.0,2.0,7.0,0.2,0.2,2.0,0.2,0.2,0.05,0.1,13.32,0.1,43,1.181339498,5
0.5,3.0,1.0,1.25,0.1,2.0,4.0,5.0,2.0,4.0,3.0,2.0,7.0,0.4,0.4,4.0,0.1,0.05,0.1,0.2,13.32,0.1,46,2.133926552,5
0.5,3.0,1.0,1.25,0.1,2.0,4.0,5.0,4.0,4.0,6.0,2.0,1.75,0.4,0.2,1.0,0.2,0.2,0.2,0.1,13.32,0.1,56,0.71014613,4
0.5,3.0,1.0,1.25,0.1,2.0,6.0,5.0,8.0,1.0,3.0,4.0,1.75,0.2,0.2,4.0,0.1,0.1,0.05,0.05,13.32,0.1,54,0.401307184,4
0.5,3.0,1.0,1.25,0.2,2.0,4.0,5.0,2.0,2.0,3.0,1.0,1.75,0.1,0.4,4.0,0.05,0.2,0.1,0.05,13.32,0.1,45,0.890827419,4
0.5,3.0,1.0,1.25,0.4,0.5,4.0,5.0,2.0,2.0,3.0,2.0,7.0,0.1,0.4,4.0,0.05,0.1,0.05,0.1,13.32,0.1,43,1.75304444,3
0.5,3.0,1.0,1.25,0.4,0.5,4.0,5.0,2.0,2.0,6.0,2.0,3.5,0.2,0.4,4.0,0.2,0.1,0.2,0.2,13.32,0.1,48,1.423514286,5
0.5,3.0,1.0,1.25,0.4,0.5,6.0,5.0,8.0,2.0,6.0,1.0,1.75,0.2,0.4,4.0,0.1,0.2,0.1,0.1,13.32,0.1,55,0.729636774,4
0.5,3.0,1.0,2.5,0.05,1.0,4.0,2.5,8.0,1.0,6.0,1.0,7.0,0.2,0.4,4.0,0.2,0.2,0.1,0.1,13.32,0.1,39,1.744278103,6
0.5,3.0,1.0,2.5,0.05,1.0,4.0,10.0,4.0,1.0,1.5,1.0,7.0,0.2,0.8,2.0,0.2,0.1,0.2,0.05,13.32,0.1,62,2.816701129,8
0.5,3.0,1.0,2.5,0.05,2.0,4.0,2.5,4.0,1.0,3.0,1.0,7.0,0.2,0.8,1.0,0.1,0.1,0.1,0.1,13.32,0.1,45,1.455732083,6
0.5,3.0,1.0,2.5,0.05,2.0,4.0,5.0,2.0,1.0,1.5,1.0,14.0,0.2,0.8,4.0,0.1,0.05,0.2,0.2,13.32,0.1,42,2.034947266,6
0.5,3.0,1.0,2.5,0.05,2.0,4.0,5.0,2.0,1.0,6.0,1.0,7.0,0.1,0.8,2.0,0.1,0.05,0.2,0.1,13.32,0.1,43,1.232068547,8
0.5,3.0,1.0,2.5,0.05,2.0,4.0,5.0,2.0,2.0,1.5,1.0,14.0,0.2,0.8,2.0,0.05,0.1,0.1,0.1,20.1,0.1,54,1.445558859,7
0.5,3.0,1.0,2.5,0.05,2.0,4.0,5.0,8.0,1.0,3.0,1.0,7.0,0.1,0.4,2.0,0.2,0.05,0.05,0.05,13.32,0.1,50,2.251845654,8
0.5,3.0,1.0,2.5,0.05,2.0,4.0,5.0,8.0,2.0,1.5,1.0,7.0,0.2,0.4,4.0,0.1,0.05,0.2,0.1,13.32,0.1,34,2.023616083,7
0.5,3.0,1.0,2.5,0.05,2.0,4.0,10.0,4.0,4.0,3.0,2.0,7.0,0.2,0.4,1.0,0.05,0.05,0.05,0.1,13.32,0.1,61,2.003787264,7
0.5,3.0,1.0,2.5,0.1,0.5,4.0,5.0,2.0,1.0,6.0,1.0,7.0,0.4,0.4,4.0,0.2,0.1,0.1,0.1,13.32,0.1,43,1.678118718,7
0.5,3.0,1.0,2.5,0.1,0.5,4.0,5.0,2.0,2.0,3.0,2.0,7.0,0.2,0.4,4.0,0.1,0.2,0.2,0.05,13.32,0.1,54,1.94393013,8
0.5,3.0,1.0,2.5,0.1,0.5,4.0,5.0,8.0,1.0,6.0,1.0,7.0,0.2,0.4,1.0,0.05,0.1,0.1,0.1,20.1,0.1,60,2.099482208,7
0.5,3.0,1.0,2.5,0.1,0.5,6.0,10.0,2.0,2.0,6.0,2.0,7.0,0.1,0.4,4.0,0.2,0.05,0.05,0.05,13.32,0.1,41,0.782959534,5
0.5,3.0,1.0,2.5,0.1,1.0,4.0,2.5,2.0,2.0,6.0,2.0,7.0,0.2,0.4,4.0,0.2,0.2,0.1,0.1,13.32,0.1,51,1.295962217,6
0.5,3.0,1.0,2.5,0.1,1.0,4.0,5.0,2.0,4.0,6.0,4.0,7.0,0.2,0.4,1.0,0.2,0.05,0.1,0.2,13.32,0.1,49,1.790906842,5
0.5,3.0,1.0,2.5,0.1,1.0,4.0,5.0,4.0,1.0,1.5,4.0,7.0,0.1,0.8,2.0,0.2,0.05,0.2,0.1,13.32,0.1,56,2.2766504015,8
0.5,3.0,1.0,2.5,0.1,1.0,4.0,5.0,8.0,2.0,6.0,1.0,7.0,0.4,0.4,2.0,0.2,0.1,0.1,0.05,13.32,0.1,36,2.324715859,5
0.5,3.0,1.0,2.5,0.1,1.0,4.0,10.0,2.0,1.0,3.0,2.0,7.0,0.1,0.4,1.0,0.05,0.1,0.05,0.1,20.1,0.1,45,2.2546414625,8
0.5,3.0,1.0,2.5,0.1,1.0,4.0,10.0,2.0,2.0,3.0,2.0,7.0,0.2,0.4,1.0,0.1,0.1,0.1,0.1,13.32,0.1,TOP4,2.2226898385,5
0.5,3.0,1.0,2.5,0.1,1.0,4.0,10.0,4.0,1.0,3.0,2.0,7.0,0.2,0.4,4.0,0.2,0.2,0.05,0.05,13.32,0.1,TOP3,2.30377786975,5
0.5,3.0,1.0,2.5,0.1,1.0,4.0,10.0,4.0,2.0,3.0,1.0,7.0,0.1,0.4,4.0,0.05,0.05,0.1,0.1,13.32,0.1,52,2.001099179,7
0.5,3.0,1.0,2.5,0.1,1.0,4.0,10.0,4.0,2.0,3.0,1.0,7.0,0.1,0.8,2.0,0.1,0.2,0.2,0.05,13.32,0.1,39,2.186963768,8
0.5,3.0,1.0,2.5,0.1,2.0,4.0,2.5,4.0,1.0,3.0,1.0,7.0,0.2,0.8,2.0,0.05,0.05,0.1,0.05,13.32,0.1,53,1.884997679,6
0.5,3.0,1.0,2.5,0.1,2.0,4.0,5.0,2.0,1.0,1.5,2.0,14.0,0.1,0.4,4.0,0.2,0.05,0.05,0.1,13.32,0.1,37,2.2522668914999997,8
0.5,3.0,1.0,2.5,0.1,2.0,4.0,5.0,2.0,1.0,3.0,2.0,3.5,0.2,0.4,4.0,0.2,0.05,0.05,0.2,13.32,0.1,58,1.770562849,8
0.5,3.0,1.0,2.5,0.1,2.0,4.0,5.0,4.0,2.0,3.0,2.0,7.0,0.1,0.8,4.0,0.2,0.2,0.05,0.05,13.32,0.1,47,1.415367643,8
0.5,3.0,1.0,2.5,0.1,2.0,4.0,5.0,8.0,2.0,1.5,1.0,7.0,0.2,0.8,1.0,0.1,0.05,0.1,0.1,13.32,0.1,36,2.7448607029999996,8
0.5,3.0,1.0,2.5,0.1,2.0,4.0,10.0,2.0,1.0,3.0,2.0,7.0,0.1,0.8,2.0,0.2,0.05,0.05,0.1,13.32,0.1,TOP7,2.488501101,8
0.5,3.0,1.0,2.5,0.2,0.5,4.0,5.0,4.0,1.0,3.0,4.0,7.0,0.2,0.4,4.0,0.05,0.05,0.1,0.2,13.32,0.1,40,1.585231185,5
0.5,3.0,1.0,2.5,0.2,0.5,4.0,10.0,4.0,4.0,3.0,2.0,7.0,0.2,0.4,2.0,0.05,0.05,0.05,0.1,20.1,0.1,48,1.784980027,8
0.5,3.0,1.0,2.5,0.2,1.0,4.0,5.0,2.0,1.0,1.5,1.0,14.0,0.2,0.4,2.0,0.2,0.1,0.1,0.05,13.32,0.1,55,1.36744084,6
0.5,3.0,1.0,2.5,0.2,1.0,4.0,5.0,8.0,1.0,1.5,2.0,7.0,0.2,0.8,2.0,0.1,0.1,0.05,0.1,20.1,0.1,33,1.647565066,7
0.5,3.0,1.0,2.5,0.2,1.0,4.0,10.0,2.0,4.0,6.0,1.0,7.0,0.2,0.4,2.0,0.2,0.1,0.05,0.1,13.32,0.1,37,1.9766147795,5
0.5,3.0,1.0,2.5,0.2,2.0,2.0,5.0,8.0,1.0,6.0,2.0,7.0,0.4,0.1,2.0,0.2,0.1,0.1,0.05,13.32,0.1,63,0.928872673,4
0.5,3.0,1.0,2.5,0.2,2.0,4.0,5.0,2.0,2.0,3.0,1.0,7.0,0.1,0.4,2.0,0.2,0.1,0.05,0.1,13.32,0.1,34,2.193595055,8
0.5,3.0,1.0,2.5,0.2,2.0,4.0,5.0,4.0,1.0,3.0,1.0,1.75,0.1,0.4,2.0,0.1,0.2,0.2,0.05,13.32,0.1,62,1.166886216,4
0.5,3.0,1.0,2.5,0.2,2.0,4.0,5.0,4.0,1.0,3.0,1.0,7.0,0.4,0.4,2.0,0.2,0.2,0.1,0.1,13.32,0.1,39,1.789462827,7
0.5,3.0,1.0,2.5,0.4,1.0,4.0,5.0,4.0,4.0,3.0,1.0,7.0,0.4,0.4,2.0,0.2,0.1,0.05,0.05,13.32,0.1,61,1.608254608,4
0.5,3.0,1.0,5.0,0.1,2.0,2.0,5.0,8.0,1.0,6.0,1.0,1.75,0.1,0.4,2.0,0.2,0.05,0.05,0.05,13.32,0.1,34,1.242494395,4
0.5,3.0,1.0,5.0,0.2,1.0,4.0,5.0,4.0,1.0,3.0,1.0,7.0,0.2,0.4,2.0,0.05,0.05,0.2,0.05,13.32,0.1,57,2.66931566,5
0.5,3.0,1.0,5.0,0.2,2.0,2.0,5.0,8.0,2.0,3.0,4.0,7.0,0.2,0.4,4.0,0.05,0.1,0.05,0.05,13.32,0.1,52,1.176433896,5
0.5,3.0,1.0,5.0,0.2,2.0,4.0,5.0,4.0,4.0,6.0,2.0,7.0,0.2,0.1,1.0,0.2,0.1,0.05,0.05,13.32,0.1,49,0.277345111,4
0.5,3.0,1.0,5.0,0.4,1.0,4.0,10.0,2.0,1.0,3.0,2.0,1.75,0.2,0.4,2.0,0.2,0.05,0.1,0.1,13.32,0.1,58,0.780685278,4
0.5,3.0,2.0,2.5,0.1,1.0,4.0,10.0,2.0,1.0,3.0,1.0,7.0,0.4,0.4,2.0,0.2,0.2,0.05,0.05,3.33,0.1,93,0.233899389,2
