Day,Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
1,TOP8,2,6,2,5,0.1,1,4,20,8,1,3,1,1.75,0.1,0.4,1,0.1,0.1,0.05,0.1,6.7,0.1,1.580038917
7,TOP6,2,3,1,2.5,0.2,1,4,5,8,0.5,3,1,7,0.2,0.4,1,0.025,0.1,0.2,0.2,6.7,0.1,1.570730336
6,2,1,1.5,1,5,0.05,0.5,4,5,8,0.5,1.5,1,7,0.2,0.4,0.5,0.05,0.1,0.2,0.1,6.7,0.1,1.563560416
4,TOP3,2,3,1,5,0.2,1,4,5,2,4,6,1,3.5,0.1,0.4,1,0.05,0.1,0.2,0.2,13.32,0.1,1.544396046
5,30,0.5,3,1,2.5,0.2,1,2,20,8,1,6,2,1.75,0.1,0.4,1,0.05,0.1,0.05,0.2,13.32,0.1,1.531820027
5,27,1,3,2,5,0.1,1,6,10,2,1,6,4,7,0.2,0.4,1,0.2,0.2,0.05,0.05,6.7,0.1,1.527281245
7,25,4,3,1,5,0.2,1,4,10,4,0.5,1.5,2,3.5,0.2,0.4,1,0.05,0.1,0.2,0.4,6.7,0.1,1.522619304
1,20,2,6,1,5,0.2,2,2,10,8,2,3,2,7,0.2,0.4,2,0.1,0.05,0.05,0.1,3.33,0.1,1.51269807
2,38,2,3,4,5,0.1,0.5,4,5,2,2,12,1,3.5,0.1,0.4,4,0.05,0.05,0.2,0.05,13.32,0.1,1.508745467
8,7,4,1.5,1,5,0.2,0.5,4,5,8,2,1.5,1,7,0.2,0.8,0.5,0.025,0.025,0.05,0.2,13.32,0.1,1.505334019
8,3,2,1.5,1,5,0.2,1,4,5,8,0.5,3,1,7,0.2,0.4,2,0.025,0.1,0.2,0.1,6.7,0.1,1.462722807
6,10,4,6,0.5,5,0.1,1,4,5,8,1,1.5,1,7,0.2,0.4,0.5,0.025,0.1,0.1,0.2,13.32,0.1,1.458576147
4,8,0.5,3,1,5,0.2,1,2,10,8,1,3,4,7,0.2,0.4,1,0.05,0.05,0.1,0.2,6.7,0.1,1.426613557
5,16,2,3,1,1.25,0.2,1,2,5,8,4,3,4,1.75,0.1,0.4,1,0.05,0.1,0.05,0.2,6.7,0.1,1.41609746
5,21,2,3,2,5,0.1,1,6,5,8,1,6,1,1.75,0.2,0.4,2,0.1,0.1,0.1,0.2,6.7,0.1,1.408505057
5,19,1,6,1,5,0.1,2,6,5,2,1,3,2,7,0.2,0.4,1,0.1,0.2,0.05,0.2,6.7,0.1,1.384795038
7,8,4,1.5,1,2.5,0.1,1,4,10,8,2,3,1,7,0.2,0.4,0.5,0.05,0.1,0.05,0.1,13.32,0.1,1.35169589
2,1,2,3,1,1.25,0.1,2,4,10,8,1,6,4,1.75,0.1,0.4,2,0.05,0.05,0.1,0.2,6.7,0.1,1.312680158
7,2,2,3,0.5,5,0.2,2,4,5,4,1,3,1,3.5,0.2,0.4,1,0.025,0.1,0.1,0.4,13.32,0.1,1.282204271
1,1,0.5,6,1,5,0.1,2,2,20,8,2,3,1,1.75,0.1,0.2,2,0.05,0.2,0.05,0.1,6.7,0.1,1.279623517
8,18,1,1.5,1,5,0.2,2,4,5,8,1,3,1,7,0.1,0.8,0.5,0.025,0.05,0.05,0.1,20.1,0.1,1.242174929
3,24,2,3,1,5,0.1,0.5,2,10,2,1,3,2,7,0.2,0.4,1,0.05,0.1,0.1,0.2,3.33,0.1,1.208365919
8,6,4,1.5,2,1.25,0.1,2,4,5,8,1,3,1,3.5,0.2,0.8,2,0.025,0.1,0.2,0.2,6.7,0.1,1.202073386
4,26,1,3,2,5,0.1,1,6,5,8,1,6,1,1.75,0.1,0.4,2,0.05,0.05,0.05,0.2,13.32,0.1,1.193898307
5,22,2,3,2,1.25,0.4,1,6,5,8,2,3,4,3.5,0.1,0.4,2,0.1,0.1,0.05,0.05,13.32,0.1,1.159332648
1,9,1,6,2,5,0.2,2,4,10,8,1,3,2,3.5,0.2,0.1,1,0.05,0.1,0.05,0.1,6.7,0.1,1.158726006
8,TOP6,2,3,1,2.5,0.2,1,4,5,8,0.5,3,1,7,0.2,0.4,1,0.025,0.1,0.2,0.2,6.7,0.1,1.138911125
4,30,0.5,3,1,1.25,0.1,0.5,2,20,8,1,3,4,3.5,0.2,0.4,2,0.05,0.05,0.1,0.2,13.32,0.1,1.128049025
8,22,4,1.5,1,1.25,0.2,2,4,5,8,1,3,1,1.75,0.2,0.4,1,0.05,0.1,0.05,0.1,20.1,0.1,1.12713902
7,21,1,1.5,1,1.25,0.2,0.5,4,5,8,0.5,3,1,7,0.2,0.4,1,0.05,0.1,0.05,0.4,13.32,0.1,1.118801325
5,14,2,3,1,1.25,0.1,2,4,10,8,4,3,2,3.5,0.1,0.1,1,0.05,0.1,0.05,0.05,6.7,0.1,1.093483588
6,13,4,1.5,2,5,0.2,1,4,5,8,0.5,3,1,3.5,0.2,0.8,1,0.025,0.1,0.2,0.1,6.7,0.1,1.089629165
5,7,2,3,2,1.25,0.2,2,4,5,8,1,3,2,7,0.2,0.4,2,0.05,0.2,0.1,0.05,13.32,0.1,1.088019286
7,29,2,3,1,2.5,0.1,2,4,10,8,1,3,1,3.5,0.2,0.4,1,0.05,0.025,0.05,0.4,13.32,0.1,1.084392639
5,15,2,3,2,2.5,0.1,0.5,6,10,8,1,3,1,3.5,0.2,0.4,4,0.1,0.1,0.1,0.1,13.32,0.1,1.081655346
6,21,4,1.5,1,5,0.05,0.5,2,5,8,0.5,3,1,7,0.1,0.4,1,0.025,0.1,0.2,0.1,6.7,0.1,1.079446775
7,27,4,3,1,5,0.1,1,2,5,8,1,1.5,1,1.75,0.2,0.4,1,0.025,0.1,0.1,0.2,6.7,0.1,1.067671349
7,12,1,3,1,2.5,0.1,2,4,5,8,1,3,2,7,0.2,0.8,1,0.05,0.1,0.1,0.1,6.7,0.1,1.061626901
8,4,2,1.5,2,5,0.1,2,4,5,4,2,3,1,7,0.2,0.8,2,0.025,0.05,0.05,0.4,6.7,0.1,1.041187517
