Cond.,k_prime,Yield,K,n,Plateau_Time,Translation_Rate,Rel. Yield
48A,764.8491874205686,1716.0578535727557,0.2429144485607147,1.0740278662931926,0.6952573647628592,1896.855009890194,0.0042636124361912
48B,1178.5007392284322,15450.005701790797,0.4053860248729343,1.645836825726502,0.898005971803566,15681.465801430884,0.0287258595906704
49A,867.9578730483147,3486.8641996896145,6.384060152056174,6.320051271370936,8.404315962630113,862.9759116245339,0.007525513582648
49B,815.1593059655729,2656.7267556145234,8.619292733619625,13.723262633701204,9.875450684346678,1057.4811687004938,0.0060091908968831
50A,12602.42868935594,454790.3741712337,2.0525498730870964,2.6182378629644583,3.620436352861038,145032.94085321962,0.8059305909362581
50B,10880.932422375266,335575.3806649892,1.3943509476392633,3.0921194565173566,2.296224867613698,186043.3998770592,0.5994387498495858
REFA,3461.7847126432684,272065.28615431336,2.4536419361252726,2.602714922543184,4.339090023330884,72148.70777946913,0.4738815493434726
REFB,18359.395065893437,848636.8338485659,1.909294549437216,2.9948353342054976,3.184352665407879,332783.5897121146,1.498610448928353
52A,11899.4142272349,556246.9942701587,2.435267161108555,2.3179467357898744,4.53649504827888,132362.36718218212,0.972881793940851
52B,37957.723801414446,1104313.436124664,2.938040956168001,2.208559460675356,5.59863579953217,207531.3043019213,1.938385635541968
53A,17814.157079894274,1790398.7977500488,2.8743958568664545,2.0467518979674115,5.6831347760495365,318719.33441766526,3.0504112848233382
53B,33310.45623961213,1823159.3552061487,2.454271094317617,1.9834953648000395,4.9289641416240695,368360.7058238077,3.1469152350199154
54A,56906.7748523535,1693096.5663262212,2.374877443125972,3.3820922298805822,3.7792610504942576,602789.9205897747,3.025375901700256
54B,67001.48044582857,1659815.415251125,2.08532646106538,3.040328175343236,3.4571036777337474,604987.236660161,2.9841384199659218
55A,21172.65667029731,1589641.9825020784,1.582349929225442,2.4513453856982235,2.873355218367704,615660.5228001156,2.780070061925764
55B,42429.82443273848,1523454.6781216506,1.6965680606686124,2.5392178325316284,3.0328599210460383,570030.6659397603,2.7028802984526834
COMA,42168.57741937784,2568942.000343256,2.580973786327221,2.632186770149208,4.542060906433759,654979.0608496004,4.488723991452441
